(   50 ,  250 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  200 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
